date,adults
2016-12-08,154
2016-12-09,71
2016-12-10,71
2016-12-11,31
2016-12-12,55
2016-12-13,65
2016-12-14,66
2016-12-15,50
2016-12-16,82
2016-12-17,87
2016-12-18,53
2016-12-19,73
2016-12-20,56
2016-12-21,63
2016-12-22,69
2016-12-23,78
2016-12-24,88
2016-12-25,54
2016-12-26,72
2016-12-27,155
2016-12-28,85
2016-12-29,97
2016-12-30,150
2016-12-31,49
2017-01-01,79
2017-01-02,120
2017-01-03,81
2017-01-04,65
2017-01-05,60
2017-01-06,74
2017-01-07,67
2017-01-08,63
2017-01-09,62
2017-01-10,85
2017-01-11,46
2017-01-12,92
2017-01-13,59
2017-01-14,100
2017-01-15,50
2017-01-16,154
2017-01-17,60
2017-01-18,134
2017-01-19,89
2017-01-20,53
2017-01-21,78
2017-01-22,69
2017-01-23,68
2017-01-24,67
2017-01-25,92
2017-01-26,84
2017-01-27,118
2017-01-28,78
2017-01-29,60
2017-01-30,86
2017-01-31,63
2017-02-01,58
2017-02-02,95
2017-02-03,89
2017-02-04,119
2017-02-05,72
2017-02-06,86
2017-02-07,60
2017-02-08,64
2017-02-09,103
2017-02-10,106
2017-02-11,91
2017-02-12,104
2017-02-13,149
2017-02-14,106
2017-02-15,122
2017-02-16,81
2017-02-17,129
2017-02-18,93
2017-02-19,101
2017-02-20,114
2017-02-21,83
2017-02-22,135
2017-02-23,101
2017-02-24,102
2017-02-25,227
2017-02-26,140
2017-02-27,103
2017-02-28,69
2017-03-01,107
2017-03-02,179
2017-03-03,103
2017-03-04,58
2017-03-05,130
2017-03-06,131
2017-03-07,98
2017-03-08,71
2017-03-09,114
2017-03-10,133
2017-03-11,103
2017-03-12,80
2017-03-13,134
2017-03-14,112
2017-03-15,114
2017-03-16,121
2017-03-17,96
2017-03-18,89
2017-03-19,121
2017-03-20,137
2017-03-21,72
2017-03-22,62
2017-03-23,92
2017-03-24,133
2017-03-25,92
2017-03-26,94
2017-03-27,115
2017-03-28,71
2017-03-29,130
2017-03-30,127
2017-03-31,130
2017-04-01,87
2017-04-02,76
2017-04-03,141
2017-04-04,61
2017-04-05,161
2017-04-06,93
2017-04-07,82
2017-04-08,113
2017-04-09,139
2017-04-10,118
2017-04-11,102
2017-04-12,88
2017-04-13,128
2017-04-14,121
2017-04-15,102
2017-04-16,85
2017-04-17,120
2017-04-18,89
2017-04-19,114
2017-04-20,99
2017-04-21,99
2017-04-22,105
2017-04-23,110
2017-04-24,97
2017-04-25,76
2017-04-26,75
2017-04-27,109
2017-04-28,161
2017-04-29,169
2017-04-30,101
2017-05-01,120
2017-05-02,133
2017-05-03,93
2017-05-04,110
2017-05-05,138
2017-05-06,109
2017-05-07,88
2017-05-08,137
2017-05-09,144
2017-05-10,86
2017-05-11,130
2017-05-12,97
2017-05-13,108
2017-05-14,131
2017-05-15,123
2017-05-16,94
2017-05-17,113
2017-05-18,119
2017-05-19,92
2017-05-20,113
2017-05-21,105
2017-05-22,128
2017-05-23,117
2017-05-24,158
2017-05-25,191
2017-05-26,103
2017-05-27,75
2017-05-28,160
2017-05-29,116
2017-05-30,91
2017-05-31,96
2017-06-01,128
2017-06-02,140
2017-06-03,122
2017-06-04,99
2017-06-05,116
2017-06-06,94
2017-06-07,85
2017-06-08,120
2017-06-09,127
2017-06-10,98
2017-06-11,133
2017-06-12,109
2017-06-13,85
2017-06-14,93
2017-06-15,123
2017-06-16,94
2017-06-17,108
2017-06-18,91
2017-06-19,111
2017-06-20,105
2017-06-21,81
2017-06-22,111
2017-06-23,103
2017-06-24,94
2017-06-25,131
2017-06-26,101
2017-06-27,111
2017-06-28,117
2017-06-29,93
2017-06-30,119
2017-07-01,114
2017-07-02,92
2017-07-03,111
2017-07-04,145
2017-07-05,70
2017-07-06,137
2017-07-07,102
2017-07-08,96
2017-07-09,132
2017-07-10,120
2017-07-11,112
2017-07-12,113
2017-07-13,149
2017-07-14,83
2017-07-15,164
2017-07-16,105
2017-07-17,115
2017-07-18,101
2017-07-19,73
2017-07-20,88
2017-07-21,96
2017-07-22,125
2017-07-23,95
2017-07-24,143
2017-07-25,93
2017-07-26,84
2017-07-27,101
2017-07-28,86
2017-07-29,112
2017-07-30,90
2017-07-31,113
2017-08-01,102
2017-08-02,104
2017-08-03,108
2017-08-04,107
2017-08-05,90
2017-08-06,92
2017-08-07,130
2017-08-08,85
2017-08-09,97
2017-08-10,89
2017-08-11,74
2017-08-12,122
2017-08-13,94
2017-08-14,101
2017-08-15,100
2017-08-16,100
2017-08-17,108
2017-08-18,101
2017-08-19,108
2017-08-20,114
2017-08-21,102
2017-08-22,73
2017-08-23,88
2017-08-24,99
2017-08-25,141
2017-08-26,98
2017-08-27,128
2017-08-28,150
2017-08-29,84
2017-08-30,62
2017-08-31,91
